PL_NAME,SPEC_TYPE,BIBCODE,AUTHORS,AUTHORS_UNACCENTED,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE,SPEC_ID,SPEC_PATH,ROW_IDX,ROW_NUM
HAT-P-12 b,Transmission,2015A&A...583A.138M,Mallonn et al. 2015,Mallonn et al. 2015,1,StanCam,Nordic Optical Telescope,0.429,0.429,,,,3.10993_3675_5,48/54/85/55/HAT_P_12_b_3.10993_3675_5.tbl,58,58
HAT-P-12 b,Transmission,2015A&A...583A.138M,Mallonn et al. 2015,Mallonn et al. 2015,2,WiFSIP,STELLA Robotic Observatory,0.5477,0.7698,,,,3.10993_3675_1,15/38/48/31/HAT_P_12_b_3.10993_3675_1.tbl,59,59
HAT-P-12 b,Transmission,2016Natur.529...59S,Sing et al. 2016,Sing et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,,,,3.10993_3717_3,59/53/57/59/HAT_P_12_b_3.10993_3717_3.tbl,60,60
HAT-P-12 b,Transmission,2016Natur.529...59S,Sing et al. 2016,Sing et al. 2016,17,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.38,0.965,,,,3.10993_3717_2,29/92/34/25/HAT_P_12_b_3.10993_3717_2.tbl,61,61
HAT-P-12 b,Transmission,2016Natur.529...59S,Sing et al. 2016,Sing et al. 2016,12,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6424,,,,3.10993_3717_1,05/61/54/57/HAT_P_12_b_3.10993_3717_1.tbl,62,62
HAT-P-12 b,Transmission,2020A&A...642A..98Y,Yan et al. 2020,Yan et al. 2020,17,MODS1,Large Binocular Telescope Observatory,0.395,0.945,,,,3.10993_4708_2,00/75/95/30/HAT_P_12_b_3.10993_4708_2.tbl,63,63
HAT-P-12 b,Transmission,2020A&A...642A..98Y,Yan et al. 2020,Yan et al. 2020,13,MODS2,Large Binocular Telescope Observatory,0.395,0.7367,,,,3.10993_4708_1,80/98/57/57/HAT_P_12_b_3.10993_4708_1.tbl,64,64
HAT-P-12 b,Transmission,2023A&A...677A..51P,Panek et al. 2023,Panek et al. 2023,20,Wide Field Camera 3,Hubble Space Telescope satellite,1.0994,1.6616,,,,3.10993_5295_1,34/50/02/52/HAT_P_12_b_3.10993_5295_1.tbl,65,65
HAT-P-12 b,Transmission,2020AJ....159..234W,Wong et al. 2020,Wong et al. 2020,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,,3.10993_5314_1,86/31/94/24/HAT_P_12_b_3.10993_5314_1.tbl,66,66
HAT-P-12 b,Transmission,2020AJ....159..234W,Wong et al. 2020,Wong et al. 2020,4,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.374,0.54,,,STIS G430L,3.10993_5314_2,25/81/09/10/HAT_P_12_b_3.10993_5314_2.tbl,67,67
HAT-P-12 b,Transmission,2020AJ....159..234W,Wong et al. 2020,Wong et al. 2020,12,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.55,0.992,,,STIS G750L,3.10993_5314_3,05/31/69/69/HAT_P_12_b_3.10993_5314_3.tbl,68,68
HAT-P-12 b,Transmission,2020AJ....159..234W,Wong et al. 2020,Wong et al. 2020,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.11,1.65,,,WFC3 G141,3.10993_5314_4,33/75/82/38/HAT_P_12_b_3.10993_5314_4.tbl,69,69
HAT-P-13 b,Emission,2016ApJ...821...26B,Buhler et al. 2016,Buhler et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 1,3.10994_3796_1,51/43/02/28/HAT_P_13_b_3.10994_3796_1.tbl,70,70
HAT-P-13 b,Emission,2017ApJ...836..143H,Hardy et al. 2017,Hardy et al. 2017,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 3,3.10994_4188_1,25/15/52/34/HAT_P_13_b_3.10994_4188_1.tbl,71,71
HAT-P-13 b,Emission,2020AJ....159..137G,Garhart et al. 2020,Garhart et al. 2020,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 1 & 6,3.10994_5410_1,71/34/49/59/HAT_P_13_b_3.10994_5410_1.tbl,72,72
HAT-P-14 b,Transmission,2016ApJ...819...27F,Fukui et al. 2016,Fukui et al. 2016,1,AFOSC,Asiago Observatory's Copernico Telescope,0.648,0.648,,,,3.10996_3790_5,80/32/97/42/HAT_P_14_b_3.10996_3790_5.tbl,73,73
HAT-P-14 b,Transmission,2016ApJ...819...27F,Fukui et al. 2016,Fukui et al. 2016,1,Keplercam,Fred Lawrence Whipple Observatory's 1.2 meter Telescope,0.773,0.773,,,,3.10996_3790_4,93/21/56/53/HAT_P_14_b_3.10996_3790_4.tbl,74,74
HAT-P-14 b,Transmission,2016ApJ...819...27F,Fukui et al. 2016,Fukui et al. 2016,3,MuSCAT,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,0.479,0.869,,,,3.10996_3790_3,37/14/13/20/HAT_P_14_b_3.10996_3790_3.tbl,75,75
HAT-P-14 b,Transmission,2016ApJ...819...27F,Fukui et al. 2016,Fukui et al. 2016,1,RISE,Liverpool 2 meter telesope at Observatorio del Roque de los Muchachos,0.616,0.616,,,,3.10996_3790_2,12/47/61/16/HAT_P_14_b_3.10996_3790_2.tbl,76,76
HAT-P-14 b,Transmission,2016ApJ...819...27F,Fukui et al. 2016,Fukui et al. 2016,1,Spectral camera,Faulkes Telescope North,0.87,0.87,,,,3.10996_3790_1,37/91/74/94/HAT_P_14_b_3.10996_3790_1.tbl,77,77
HAT-P-16 b,Transmission,2014NewA...27..102P,Pearson et al. 2014,Pearson et al. 2014,1,Mont4k CCD,Steward Observatory's 1.5 meter Kuiper Telescope,0.36,0.36,2456290.658,2456290.658,,3.10998_3417_1,36/71/60/63/HAT_P_16_b_3.10998_3417_1.tbl,78,78
HAT-P-18 b,Transmission,2017MNRAS.468.3907K,Kirk et al. 2017,Kirk et al. 2017,17,ACAM,Isaac Newton Group's William Herschel Telescope,0.4874,0.9124,,,,3.11001_3989_1,71/12/09/52/HAT_P_18_b_3.11001_3989_1.tbl,79,79
HAT-P-18 b,Transmission,2022arXiv221113761F,Fu et al. 2022,Fu et al. 2022,1021,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.6078,2.8266,2459743.853,2459743.853,,3.11001_5041_1,19/19/99/05/HAT_P_18_b_3.11001_5041_1.tbl,80,80
HAT-P-18 b,Transmission,2023A&A...675A..62J,Jiang et al. 2023,Jiang et al. 2023,26,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.78,,,,3.11001_5312_1,07/95/45/37/HAT_P_18_b_3.11001_5312_1.tbl,81,81
HAT-P-18 b,Transmission,2024MNRAS.528.3354F,Fournier-Tondreau et al. 2024,Fournier-Tondreau et al. 2024,139,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.6064,2.7996,,,"Figure 3, NIRISS/SOSS R=100",3.11001_5431_1,87/11/67/37/HAT_P_18_b_3.11001_5431_1.tbl,82,82
